Country,Year,ElementName,MDS1,MDS2
Saint Lucia,1970,Calories,-0.140430979,0.354588629
Saint Vincent and the Grenadines,1970,Calories,-0.109116013,0.347633989
Samoa,1970,Calories,-0.142768896,0.719037283
Sao Tome and Principe,1970,Calories,0.063896445,0.384329861
Saudi Arabia,1970,Calories,-0.079987854,-0.290931979
Senegal,1970,Calories,0.233910892,-0.170628572
Seychelles,1970,Calories,-0.135717423,0.156945632
Sierra Leone,1970,Calories,0.461065614,0.033768285
Solomon Islands,1970,Calories,0.192071092,0.676570936
South Africa,1970,Calories,-0.121851491,-0.108512745
Spain,1970,Calories,-0.26619368,-0.139154338
Sri Lanka,1970,Calories,0.093550409,0.335052467
Sudan (former),1970,Calories,0.348751134,-0.384315677
Suriname,1970,Calories,-0.145694146,0.219676178
Swaziland,1970,Calories,0.331703619,-0.434230067
Sweden,1970,Calories,-0.325432051,0.000888924
Switzerland,1970,Calories,-0.284047384,-0.042074307
Syrian Arab Republic,1970,Calories,-0.204815519,-0.277413271
Thailand,1970,Calories,0.061937297,0.414741859
Timor-Leste,1970,Calories,0.334232847,0.310453686
Togo,1970,Calories,0.593233329,-0.019228483
Trinidad and Tobago,1970,Calories,-0.126257844,0.171810485
Tunisia,1970,Calories,-0.272860378,-0.260475443
Turkey,1970,Calories,-0.258344501,-0.276681429
Uganda,1970,Calories,0.713404038,-0.164597852
United Arab Emirates,1970,Calories,-0.270689405,0.098045432
United Kingdom,1970,Calories,-0.25368964,-0.056175175
United Republic of Tanzania,1970,Calories,0.444583364,-0.080753461
United States of America,1970,Calories,-0.216546257,-0.036844113
Uruguay,1970,Calories,-0.351386171,-0.087074397
USSR,1970,Calories,-0.458940808,-0.214982596
Vanuatu,1970,Calories,-0.149444093,0.606527836
Venezuela (Bolivarian Republic of),1970,Calories,-0.02650241,-0.000570116
Viet Nam,1970,Calories,0.160144024,0.314154633
Yemen,1970,Calories,0.047362617,-0.375736598
Yugoslav SFR,1970,Calories,-0.308439012,-0.121416149
Zambia,1970,Calories,0.295084931,-0.248913773
Zimbabwe,1970,Calories,0.208887626,-0.469537697
Albania,1980,Calories,-0.510358864,-0.223386564
Algeria,1980,Calories,-0.329767597,-0.220852156
Angola,1980,Calories,0.373034589,0.033286544
Antigua and Barbuda,1980,Calories,-0.242399221,0.142326868
Argentina,1980,Calories,-0.312352103,-0.097242067
Australia,1980,Calories,-0.235475713,-0.077034672
Austria,1980,Calories,-0.312814279,-0.023087947
Bahamas,1980,Calories,-0.237784839,0.10687294
Bangladesh,1980,Calories,0.252082392,-0.206109303
Barbados,1980,Calories,-0.142695393,0.060464034
Belgium-Luxembourg,1980,Calories,-0.244726186,-0.037144741
Belize,1980,Calories,-0.23857341,0.268362766
Benin,1980,Calories,0.470483848,-0.039419901
Bermuda,1980,Calories,-0.455205025,0.142218567
Bolivia (Plurinational State of),1980,Calories,-0.093079162,0.017802919
Botswana,1980,Calories,0.123632219,-0.257431204
Brazil,1980,Calories,-0.098667386,0.017061663
Brunei Darussalam,1980,Calories,-0.056827786,0.04581613
Bulgaria,1980,Calories,-0.375348482,-0.119608514
Burkina Faso,1980,Calories,0.617825605,-0.324687666
Burundi,1980,Calories,0.858292105,0.157305996
Côte d’Ivoire,1980,Calories,0.457916893,0.110875956
Cambodia,1980,Calories,0.384613268,0.498397512
Cameroon,1980,Calories,0.405127467,-0.001509969
Canada,1980,Calories,-0.234354606,-0.063543992
Cape Verde,1980,Calories,0.100163454,0.147501376
Central African Republic,1980,Calories,0.705241519,0.012149307
