Year,GlobalMean,Measurement,FoodGroup,Unit
1965,0.092763158,Fat,Alcoholic beverages,g/capita/day
1965,28.80592105,Fat,Animal products,g/capita/day
1965,0.504605263,Fat,Fruits,g/capita/day
1965,5.384868421,Fat,Grains,g/capita/day
1965,0.008552632,Fat,Miscellaneous,g/capita/day
1965,21.29605263,Fat,Oils,g/capita/day
1965,0.349342105,Fat,Pulses,g/capita/day
1965,0.389473684,Fat,Spices & stimulants,g/capita/day
1965,0.363157895,Fat,Starchy roots,g/capita/day
1965,0.0125,Fat,Sweeteners,g/capita/day
1965,0.261842105,Fat,Vegetables,g/capita/day
1965,107.5883201,Food Weight,Alcoholic beverages,g/capita/day
1965,358.1362653,Food Weight,Animal products,g/capita/day
1965,166.481615,Food Weight,Fruits,g/capita/day
1965,334.9423216,Food Weight,Grains,g/capita/day
1965,0,Food Weight,Miscellaneous,g/capita/day
1965,48.81218457,Food Weight,Oils,g/capita/day
1965,19.0555155,Food Weight,Pulses,g/capita/day
1965,7.545061283,Food Weight,Spices & stimulants,g/capita/day
1965,237.703677,Food Weight,Starchy roots,g/capita/day
1965,71.07065609,Food Weight,Sweeteners,g/capita/day
1965,135.0468637,Food Weight,Vegetables,g/capita/day
1965,0.821052632,Protein,Alcoholic beverages,g/capita/day
1965,23.63223684,Protein,Animal products,g/capita/day
1965,1.001973684,Protein,Fruits,g/capita/day
1965,26.175,Protein,Grains,g/capita/day
1965,0.044736842,Protein,Miscellaneous,g/capita/day
1965,1.711842105,Protein,Oils,g/capita/day
1965,4.148026316,Protein,Pulses,g/capita/day
1965,0.569736842,Protein,Spices & stimulants,g/capita/day
1965,2.958552632,Protein,Starchy roots,g/capita/day
1965,0.026973684,Protein,Sweeteners,g/capita/day
1965,1.655921053,Protein,Vegetables,g/capita/day
1966,85.57894737,Calories,Alcoholic beverages,kcal/capita/day
1966,402.4473684,Calories,Animal products,kcal/capita/day
1966,89.77631579,Calories,Fruits,kcal/capita/day
1966,1001.394737,Calories,Grains,kcal/capita/day
1966,1.421052632,Calories,Miscellaneous,kcal/capita/day
1966,208.7894737,Calories,Oils,kcal/capita/day
1966,64.54605263,Calories,Pulses,kcal/capita/day
1966,9.447368421,Calories,Spices & stimulants,kcal/capita/day
1966,205.9539474,Calories,Starchy roots,kcal/capita/day
1966,241.8092105,Calories,Sweeteners,kcal/capita/day
1966,33.79605263,Calories,Vegetables,kcal/capita/day
1966,0.098684211,Fat,Alcoholic beverages,g/capita/day
1966,29.25460526,Fat,Animal products,g/capita/day
1966,0.511184211,Fat,Fruits,g/capita/day
1966,5.386842105,Fat,Grains,g/capita/day
1966,0.010526316,Fat,Miscellaneous,g/capita/day
1966,21.74473684,Fat,Oils,g/capita/day
1966,0.347368421,Fat,Pulses,g/capita/day
1966,0.419078947,Fat,Spices & stimulants,g/capita/day
1966,0.356578947,Fat,Starchy roots,g/capita/day
