Item,FoodGroup,Year,Measurement,NoCountries
Grapefruit,Fruits,1961,Food Weight,68
Grapes & wine,Alcoholic beverages,1961,Food Weight,127
Groundnut,Oils,1961,Food Weight,119
Lemons & limes,Fruits,1961,Food Weight,81
Maize,Cereals,1961,Food Weight,124
Millets,Cereals,1961,Food Weight,48
Miscellaneous,Miscellaneous,1961,Food Weight,0
Oats,Cereals,1961,Food Weight,55
Oilcrops (other),Oils,1961,Food Weight,84
Olives,Oils,1961,Food Weight,54
Onions,Vegetables,1961,Food Weight,121
Oranges & mandarines,Fruits,1961,Food Weight,118
Palm oil,Oils,1961,Food Weight,52
Peas,Pulses,1961,Food Weight,66
Pepper,Vegetables,1961,Food Weight,31
Pimento,Spices & stimulants,1961,Food Weight,52
Pineapples,Fruits,1961,Food Weight,72
Potatoes,Starchy roots,1961,Food Weight,140
Pulses (other),Pulses,1961,Food Weight,128
Rape & mustard,Spices & stimulants,1961,Food Weight,35
Rice,Cereals,1961,Food Weight,147
Roots (other),Starchy roots,1961,Food Weight,78
Rye,Cereals,1961,Food Weight,40
Sesame ,Oils,1961,Food Weight,51
Sorghum,Cereals,1961,Food Weight,48
Soybean,Oils,1961,Food Weight,75
Spices (other),Spices & stimulants,1961,Food Weight,70
Sugar,Sweeteners,1961,Food Weight,151
Sunflower,Oils,1961,Food Weight,40
Sweet potatoes,Starchy roots,1961,Food Weight,90
Sweeteners (other),Sweeteners,1961,Food Weight,73
Tea,Spices & stimulants,1961,Food Weight,91
Tomatoes,Vegetables,1961,Food Weight,115
Treenuts,Oils,1961,Food Weight,99
Vegetables (other),Vegetables,1961,Food Weight,151
Wheat,Cereals,1961,Food Weight,151
Yams,Starchy roots,1961,Food Weight,43
Alcoholic beverages,Alcoholic beverages,1962,Calories,123
Animal Products (Total),Animal Products,1962,Calories,152
Apples,Fruits,1962,Calories,73
Bananas & plantains,Fruits,1962,Calories,125
Barley & beer,Alcoholic beverages,1962,Calories,138
Beans,Pulses,1962,Calories,96
Cassava,Starchy roots,1962,Calories,83
Cereals (other),Cereals ,1962,Calories,65
Citrus (other),Fruits,1962,Calories,14
Cloves,Spices & stimulants,1962,Calories,1
Cocoa beans,Spices & stimulants,1962,Calories,84
Coconuts,Oils,1962,Calories,105
Coffee,Spices & stimulants,1962,Calories,81
Cottonseed oil,Oils,1962,Calories,75
Dates,Fruits,1962,Calories,42
Fermented beverages,Alcoholic beverages,1962,Calories,42
Fruits (other),Fruits,1962,Calories,149
Grapefruit,Fruits,1962,Calories,28
Grapes & wine,Alcoholic beverages,1962,Calories,102
Groundnut,Oils,1962,Calories,125
Lemons & limes,Fruits,1962,Calories,50
Maize,Cereals,1962,Calories,124
Millets,Cereals,1962,Calories,48
Miscellaneous,Miscellaneous,1962,Calories,47
Oats,Cereals,1962,Calories,53
Oilcrops (other),Oils,1962,Calories,101
Olives,Oils,1962,Calories,71
Onions,Vegetables,1962,Calories,109
Oranges & mandarines,Fruits,1962,Calories,104
Palm oil,Oils,1962,Calories,56
Peas,Pulses,1962,Calories,66
Pepper,Vegetables,1962,Calories,27
Pimento,Spices & stimulants,1962,Calories,50
Pineapples,Fruits,1962,Calories,57
