ItemName,ElementName,UnitName,AvgValue61to63,61-63percentoftotal,AvgValue07to09,07-09percentoftotal,change 2009-1961,absoluteChange,change of relative percent 2009-1961,relativeChange,Use
Sorghum,Fat,g/capita/day,0.6,1.10%,0.34,0.40%,-0.26,-43.40%,-0.70%,-62.10%,
Sorghum,Food Weight,g/capita/day,20.23,1.40%,11.77,0.60%,-8.46,-41.80%,-0.70%,-53.70%,1
Sorghum,Protein,g/capita/day,1.8,2.90%,1.04,1.30%,-0.76,-42.10%,-1.60%,-54.20%,1
Soybean,Calories,kcal/capita/day,18.46,0.80%,77.39,2.80%,58.93,319.20%,2.00%,243.00%,1
Soybean,Fat,g/capita/day,1.89,3.40%,8.37,10.10%,6.48,341.80%,6.70%,195.40%,1
Soybean,Food Weight,g/capita/day,2.48,0.20%,9.82,0.50%,7.34,296.30%,0.40%,215.60%,
Soybean,Protein,g/capita/day,0.24,0.40%,0.53,0.70%,0.29,119.70%,0.30%,73.80%,
Spices (other),Calories,kcal/capita/day,1.89,0.10%,5.19,0.20%,3.3,175.00%,0.10%,125.00%,
Spices (other),Fat,g/capita/day,0.07,0.10%,0.18,0.20%,0.11,152.70%,0.10%,69.00%,
Spices (other),Food Weight,g/capita/day,0.57,0.00%,1.5,0.10%,0.93,163.70%,0.00%,110.00%,
Spices (other),Protein,g/capita/day,0.05,0.10%,0.15,0.20%,0.1,186.70%,0.10%,126.90%,
Sugar,Calories,kcal/capita/day,219.52,9.70%,263.65,9.50%,44.13,20.10%,-0.20%,-1.70%,1
Sugar,Fat,g/capita/day,0.01,0.00%,0.01,0.00%,0,-12.80%,0.00%,-41.70%,
Sugar,Food Weight,g/capita/day,65.27,4.50%,80.09,4.40%,14.83,22.70%,-0.10%,-2.30%,1
Sugar,Protein,g/capita/day,0.02,0.00%,0.02,0.00%,-0.01,-34.80%,0.00%,-48.40%,
Sunflower,Calories,kcal/capita/day,10.52,0.50%,39.44,1.40%,28.92,274.80%,1.00%,206.70%,1
Sunflower,Fat,g/capita/day,1.18,2.10%,4.44,5.40%,3.26,274.80%,3.20%,150.60%,1
Sunflower,Food Weight,g/capita/day,1.22,0.10%,4.59,0.30%,3.37,276.00%,0.20%,199.40%,
Sunflower,Protein,g/capita/day,0,0.00%,0.03,0.00%,0.02,448.20%,0.00%,333.80%,
Sweet potatoes,Calories,kcal/capita/day,25.88,1.10%,17.37,0.60%,-8.5,-32.90%,-0.50%,-45.10%,1
Sweet potatoes,Fat,g/capita/day,0.06,0.10%,0.04,0.00%,-0.02,-40.60%,-0.10%,-60.30%,
Sweet potatoes,Food Weight,g/capita/day,27.12,1.90%,18.14,1.00%,-8.98,-33.10%,-0.90%,-46.70%,1
Sweet potatoes,Protein,g/capita/day,0.29,0.50%,0.21,0.30%,-0.09,-29.30%,-0.20%,-44.10%,
Sweeteners (other),Calories,kcal/capita/day,3.62,0.20%,18.29,0.70%,14.67,404.90%,0.50%,313.20%,
Sweeteners (other),Fat,g/capita/day,0,0.00%,0,0.00%,0,-37.50%,0.00%,-58.20%,
Sweeteners (other),Food Weight,g/capita/day,1.4,0.10%,8.17,0.40%,6.77,483.80%,0.40%,364.80%,
Sweeteners (other),Protein,g/capita/day,0,0.00%,0,0.00%,0,300.00%,0.00%,216.50%,
Tea,Calories,kcal/capita/day,0.5,0.00%,0.71,0.00%,0.2,40.30%,0.00%,14.80%,
Tea,Fat,g/capita/day,0,0.00%,0,0.00%,0,0.00%,0.00%,0.00%,
Tea,Food Weight,g/capita/day,1.41,0.10%,2.01,0.10%,0.6,42.70%,0.00%,13.60%,
Tea,Protein,g/capita/day,0.14,0.20%,0.19,0.20%,0.06,41.80%,0.00%,12.20%,
Tomatoes,Calories,kcal/capita/day,3.54,0.20%,8.78,0.30%,5.25,148.50%,0.20%,103.30%,
Tomatoes,Fat,g/capita/day,0.04,0.10%,0.1,0.10%,0.06,161.50%,0.10%,74.80%,
Tomatoes,Food Weight,g/capita/day,18.76,1.30%,46.56,2.60%,27.79,148.10%,1.30%,97.50%,1
Tomatoes,Protein,g/capita/day,0.17,0.30%,0.42,0.50%,0.25,148.30%,0.30%,96.50%,
Treenuts,Calories,kcal/capita/day,6.96,0.30%,14.7,0.50%,7.74,111.20%,0.20%,72.80%,
Treenuts,Fat,g/capita/day,0.46,0.80%,1.22,1.50%,0.76,163.20%,0.60%,76.00%,1
Treenuts,Food Weight,g/capita/day,2.65,0.20%,5.99,0.30%,3.35,126.50%,0.10%,80.30%,
Treenuts,Protein,g/capita/day,0.17,0.30%,0.39,0.50%,0.22,123.50%,0.20%,76.80%,
Vegetables (other),Calories,kcal/capita/day,25.44,1.10%,39.14,1.40%,13.7,53.90%,0.30%,25.90%,1
Vegetables (other),Fat,g/capita/day,0.22,0.40%,0.32,0.40%,0.1,47.90%,0.00%,-1.10%,
Vegetables (other),Food Weight,g/capita/day,104.67,7.20%,148.84,8.20%,44.17,42.20%,1.00%,13.20%,1
Vegetables (other),Protein,g/capita/day,1.36,2.20%,1.9,2.50%,0.54,40.10%,0.20%,10.90%,1
Wheat,Calories,kcal/capita/day,403.32,17.80%,494.61,17.90%,91.28,22.60%,0.10%,0.30%,1
Wheat,Fat,g/capita/day,1.61,2.90%,2.57,3.10%,0.96,59.70%,0.20%,6.80%,1
Wheat,Food Weight,g/capita/day,147.27,10.20%,176.02,9.70%,28.75,19.50%,-0.50%,-4.80%,1
Wheat,Protein,g/capita/day,12.27,20.00%,14.6,18.80%,2.33,19.00%,-1.20%,-5.80%,1
Yams,Calories,kcal/capita/day,20.98,0.90%,20.05,0.70%,-0.93,-4.40%,-0.20%,-21.80%,
Yams,Fat,g/capita/day,0.04,0.10%,0.04,0.00%,0,-5.70%,0.00%,-36.90%,
Yams,Food Weight,g/capita/day,21.42,1.50%,20.29,1.10%,-1.14,-5.30%,-0.40%,-24.60%,1
Yams,Protein,g/capita/day,0.35,0.60%,0.32,0.40%,-0.02,-6.30%,-0.10%,-25.90%,
