ItemName,CountryName,ElementName,UnitName,20092011Average
Apples,Egypt,Food Weight,g/capita/day,18.66666667
Apples,Egypt,Protein,g/capita/day,0.1
Apples,El Salvador,Fat,g/capita/day,0
Apples,El Salvador,Calories,kcal/capita/day,1
Apples,El Salvador,Food Weight,g/capita/day,2
Apples,El Salvador,Protein,g/capita/day,0
Apples,Estonia,Fat,g/capita/day,0.1
Apples,Estonia,Calories,kcal/capita/day,23
Apples,Estonia,Food Weight,g/capita/day,43.66666667
Apples,Estonia,Protein,g/capita/day,0.1
Apples,Ethiopia,Fat,g/capita/day,0
Apples,Ethiopia,Calories,kcal/capita/day,0
Apples,Ethiopia,Food Weight,g/capita/day,0
Apples,Ethiopia,Protein,g/capita/day,0
Apples,Fiji,Fat,g/capita/day,0
Apples,Fiji,Calories,kcal/capita/day,3.333333333
Apples,Fiji,Food Weight,g/capita/day,12.33333333
Apples,Fiji,Protein,g/capita/day,0
Apples,Finland,Fat,g/capita/day,0.1
Apples,Finland,Calories,kcal/capita/day,18.33333333
Apples,Finland,Food Weight,g/capita/day,62.33333333
Apples,Finland,Protein,g/capita/day,0.1
Apples,France,Fat,g/capita/day,0.1
Apples,France,Calories,kcal/capita/day,10.66666667
Apples,France,Food Weight,g/capita/day,25.33333333
Apples,France,Protein,g/capita/day,0.066666667
Apples,French Polynesia,Fat,g/capita/day,0
Apples,French Polynesia,Calories,kcal/capita/day,7.666666667
Apples,French Polynesia,Food Weight,g/capita/day,34.66666667
Apples,French Polynesia,Protein,g/capita/day,0.033333333
Apples,Gabon,Fat,g/capita/day,0
Apples,Gabon,Calories,kcal/capita/day,2.333333333
Apples,Gabon,Food Weight,g/capita/day,7.666666667
Apples,Gabon,Protein,g/capita/day,0
Apples,Gambia,Fat,g/capita/day,0
Apples,Gambia,Calories,kcal/capita/day,0
Apples,Gambia,Food Weight,g/capita/day,0.333333333
Apples,Gambia,Protein,g/capita/day,0
Apples,Georgia,Fat,g/capita/day,0.066666667
