ItemName	ElementName	UnitName	AvgValue61to63	AvgValue07to09
Lemons & limes	Calories	kcal/capita/day	0.717105263	1.042726461
Lemons & limes	Fat	g/capita/day	0.0125	0.013596491
Lemons & limes	Food Weight	g/capita/day	4.131819274	6.179033175
Lemons & limes	Protein	g/capita/day	0.00877193	0.019316449
Maize	Calories	kcal/capita/day	168.2039474	198.8412788
Maize	Fat	g/capita/day	1.767982456	3.063971073
Maize	Food Weight	g/capita/day	53.38560442	61.94082626
Maize	Protein	g/capita/day	4.236842105	4.708715855
Millets	Calories	kcal/capita/day	43.61184211	29.92865037
Millets	Fat	g/capita/day	0.400657895	0.281357071
Millets	Food Weight	g/capita/day	15.24633502	10.55294088
Millets	Protein	g/capita/day	1.081359649	0.722396556
Miscellaneous	Calories	kcal/capita/day	0.828947368	8.86508472
Miscellaneous	Fat	g/capita/day	0.004605263	0.101074643
Miscellaneous	Food Weight	g/capita/day	0	0
Miscellaneous	Protein	g/capita/day	0.029166667	0.305222123
Oats	Calories	kcal/capita/day	3.75877193	4.024072965
Oats	Fat	g/capita/day	0.062280702	0.066981146
Oats	Food Weight	g/capita/day	1.718937755	1.85553843
Oats	Protein	g/capita/day	0.143640351	0.153944407
Oilcrops (other)	Calories	kcal/capita/day	13.85087719	22.59862513
Oilcrops (other)	Fat	g/capita/day	1.520394737	2.483989919
Oilcrops (other)	Food Weight	g/capita/day	1.793439077	2.896814494
Oilcrops (other)	Protein	g/capita/day	0.06995614	0.093033438
Olives	Calories	kcal/capita/day	13.87719298	20.04180748
Olives	Fat	g/capita/day	1.561622807	2.241487005
Olives	Food Weight	g/capita/day	2.204998798	4.349396179
Olives	Protein	g/capita/day	0.006359649	0.023190884
Onions	Calories	kcal/capita/day	3.282894737	7.44418131
Onions	Fat	g/capita/day	0.005921053	0.030790061
Onions	Food Weight	g/capita/day	8.399423216	19.37248099
Onions	Protein	g/capita/day	0.107236842	0.245612679
Oranges & mandarines	Calories	kcal/capita/day	6.037280702	10.65154085
Oranges & mandarines	Fat	g/capita/day	0.014692982	0.032058581
Oranges & mandarines	Food Weight	g/capita/day	20.79187695	43.78922845
Oranges & mandarines	Protein	g/capita/day	0.106578947	0.184460562
Palm oil	Calories	kcal/capita/day	18.80921053	57.49179694
Palm oil	Fat	g/capita/day	2.124122807	6.491752876
Palm oil	Food Weight	g/capita/day	2.123287671	6.53328962
Palm oil	Protein	g/capita/day	0.002850877	0.005986791
Peas	Calories	kcal/capita/day	5.743421053	7.196543452
Peas	Fat	g/capita/day	0.021052632	0.026787733
Peas	Food Weight	g/capita/day	1.690098534	2.104736022
Peas	Protein	g/capita/day	0.380263158	0.47272378
Pepper	Calories	kcal/capita/day	0.184210526	0.717880777
Pepper	Fat	g/capita/day	0	0.002412281
Pepper	Food Weight	g/capita/day	0.075102139	0.271289775
Pepper	Protein	g/capita/day	0.002192982	0.021255919
Pimento	Calories	kcal/capita/day	1.837719298	3.237927426
Pimento	Fat	g/capita/day	0.078508772	0.149341332
Pimento	Food Weight	g/capita/day	0.645277577	1.083587724
Pimento	Protein	g/capita/day	0.073245614	0.128488474
Pineapples	Calories	kcal/capita/day	1.254385965	3.428812629
Pineapples	Fat	g/capita/day	0.002631579	0.003070175
Pineapples	Food Weight	g/capita/day	3.758711848	8.50967574
Pineapples	Protein	g/capita/day	0.006359649	0.01731493
Potatoes	Calories	kcal/capita/day	47.67105263	52.80013218
Potatoes	Fat	g/capita/day	0.075	0.082450469
Potatoes	Food Weight	g/capita/day	70.04866618	79.24942563
Potatoes	Protein	g/capita/day	1.149342105	1.204155553
Pulses (other)	Calories	kcal/capita/day	31.31140351	29.33304248
Pulses (other)	Fat	g/capita/day	0.202412281	0.185946779
Pulses (other)	Food Weight	g/capita/day	9.240567171	8.615148743
Pulses (other)	Protein	g/capita/day	2.008333333	1.89656039
